signalname,pub_year,n_j,mean_m,sd_m,sharpe_m,sharpe_ann,frontier_at_nj,margin,censored
AM,1992,384,0.4681645056669595,5.292698556890026,0.088454783629705,0.3064163588383219,1.009584691841155,-0.7031683330028331,False
AOP,1998,312,0.0010844517083971,2.605206243753919,0.0004162632847196,0.0014419783169199,1.1383037907342661,-1.1368618124173462,False
AbnormalAccruals,2001,276,-0.127928897541963,2.5397172845390905,-0.0503713142879128,-0.1744913511813703,1.2100106941676176,-1.384502045348988,False
Accruals,1996,336,0.0995375919892648,1.8470347147408013,0.0538904825095467,0.1866821075018738,1.090499188445365,-0.9038170809434911,False
AccrualsBM,2004,240,0.8965328529637516,5.416072037026081,0.1655319291979045,0.5734194232913294,1.2817175976009691,-0.7082981743096397,False
Activism1,2005,14,0.1498519794789564,1.7089577609122888,0.0876861809615243,0.3037538410940779,5.923552987861254,-5.619799146767177,True
Activism2,2005,14,0.1607867693118551,3.7102135402896272,0.0433362574864905,0.1501211995529776,5.923552987861254,-5.773431788308277,True
AdExp,2001,276,0.3181104233841904,3.7640437630886345,0.0845129449619259,0.2927614291426558,1.2100106941676176,-0.9172492650249618,False
AgeIPO,1991,396,0.7624571627173603,5.527580036763374,0.137936883346118,0.4778273803863554,0.9941702799091036,-0.5163428995227481,False
AnalystRevision,1984,480,0.5348684330241866,1.7564046041075017,0.3045246133911009,1.054904205097313,0.9029999999999999,0.15190420509731306,False
AnalystValue,1998,312,0.3870490310066111,5.335070725229205,0.0725480599865867,0.2513138517746457,1.1383037907342661,-0.8869899389596204,False
AnnouncementReturn,1996,336,0.7998486989941243,2.0493742207187675,0.390289236054505,1.352001572987291,1.090499188445365,0.261502384541926,False
AssetGrowth,2008,192,0.6665266413115017,3.552927835779811,0.1875992623883985,0.6498629078383028,1.5048057416158407,-0.8549428337775379,False
BM,1980,528,0.6117616944075415,4.421483983945035,0.1383611693786351,0.4792971503168783,0.8609767180887699,-0.38167956777189155,False
BMdec,1992,384,0.617564125665052,3.4326630952608403,0.1799081670781107,0.6232201721517564,1.009584691841155,-0.38636451968939867,False
BPEBM,2007,204,-0.0322972421652453,1.898259247522451,-0.0170141366135309,-0.0589386981231068,1.4490337056121227,-1.5079724037352296,False
Beta,1973,612,0.2626577816389895,7.2230277071900675,0.036363944911568,0.1259684003009433,0.799710241642706,-0.6737418413417626,False
BetaFP,2014,120,-0.1609778856239972,8.095300841199963,-0.0198853493874769,-0.0688848709307374,1.8394379576381477,-1.9083228285688851,False
BetaLiquidityPS,2003,252,-0.006675714350313,3.437701082857259,-0.0019419123970966,-0.0067269818712385,1.2578152964565186,-1.2645422783277571,False
BetaTailRisk,2014,120,0.2750554086946677,3.725392458585703,0.0738325993173586,0.2557636265450806,1.8394379576381477,-1.583674331093067,False
BidAskSpread,1986,456,0.0050656053784653,8.043525735191501,0.0006297742489096,0.0021816019928199,0.9264584519328941,-0.9242768499400742,False
BookLeverage,1992,384,-0.0285445568809415,4.54134433156239,-0.006285486146152,-0.0217735627108113,1.009584691841155,-1.0313582545519664,False
BrandInvest,2014,120,-0.4299613567778081,5.166824583556246,-0.0832157836645331,-0.2882679305972632,1.8394379576381477,-2.1277058882354107,False
CBOperProf,2016,96,0.5679045131635518,5.685849182443124,0.099880333603842,0.345995624957567,2.2482019482244024,-1.9022063232668354,True
CF,1994,360,0.3850356806983065,5.416508675326513,0.0710855836809116,0.2462476852420558,1.042694586156464,-0.7964469009144082,False
CPVolSpread,2009,157,0.462897709159644,1.7859240693300886,0.2591922675264015,0.8978683525694245,1.6674741799600177,-0.7696058273905931,False
Cash,2012,144,-0.1255812907544757,6.154641236948975,-0.0204043234885174,-0.0706826499523663,1.727893885630712,-1.7985765355830783,False
CashProd,2009,180,0.2025033662409335,3.5072230750092954,0.0577389467136751,0.2000135785671947,1.5605777776195584,-1.3605641990523636,False
ChAssetTurnover,2008,192,0.0454622652944137,1.233318212707739,0.036861748108464,0.1276928411593314,1.5048057416158407,-1.3771129004565092,False
ChEQ,2010,168,0.4058739493126214,2.676762876679122,0.1516286529706216,0.5252570616566924,1.6163498136232763,-1.0910927519665838,False
ChForecastAccrual,2004,240,0.1020100391230672,1.298576893582048,0.0785552550851868,0.2721233860181539,1.2817175976009691,-1.0095942115828151,False
ChInv,2002,264,0.2500042199932581,1.9125996057852328,0.1307143529869217,0.452807801303682,1.2339129953120682,-0.7811051940083862,False
ChInvIA,1998,312,0.1788013756357105,2.162641346010272,0.0826773130762391,0.2864026137626499,1.1383037907342661,-0.8519011769716163,False
ChNAnalyst,2008,192,0.1096267207237963,2.8934294999649808,0.0378881603042767,0.131248437304643,1.5048057416158407,-1.3735573043111977,False
ChNNCOA,2008,192,-0.0881680840664915,1.3805212160148197,-0.0638657943417981,-0.2212376013314786,1.5048057416158407,-1.7260433429473192,False
ChNWC,2008,192,0.0723760857217517,0.9878752654177384,0.0732643970908071,0.2537953162943588,1.5048057416158407,-1.251010425321482,False
ChTax,2011,156,0.4255135064152096,1.9325693736900391,0.2201801975174303,0.7627265778414803,1.672121849626994,-0.9093952717855137,False
ChangeInRecommendation,2004,240,0.255758917044853,1.457681520655597,0.1754559644344154,0.6077972897828109,1.2817175976009691,-0.6739203078181583,False
CitationsRD,2013,132,0.0619365427221055,2.3818575129289443,0.0260034625857794,0.0900786367425728,1.7836659216344297,-1.693587284891857,False
CompEquIss,2006,216,0.342795347978841,2.2354429533472477,0.153345603145701,0.5312047515312962,1.3932616696084048,-0.8620569180771086,False
CompositeDebtIssuance,2008,192,0.2213414725929798,1.4055820912206445,0.1574731735524327,0.5455030748438502,1.5048057416158407,-0.9593026667719905,False
ConsRecomm,2001,276,0.109461062751217,3.0458154594012377,0.0359381795155559,0.1244935057049477,1.2100106941676176,-1.08551718846267,False
ConvDebt,2016,96,0.2978915773937159,2.0100109319251156,0.1482039588254409,0.513393573137019,2.2482019482244024,-1.7348083750873835,True
CoskewACX,2006,216,0.2825253799314751,3.611649888301191,0.0782261261941883,0.2709832500952575,1.3932616696084048,-1.1222784195131474,False
Coskewness,2000,288,0.2679139258534361,2.675513039689606,0.1001355335889215,0.346879663638064,1.186108393023167,-0.8392287293851031,False
CredRatDG,2001,276,0.2510064801713418,4.068771260106167,0.0616909784613432,0.2137038181273674,1.2100106941676176,-0.9963068760402503,False
CustomerMomentum,2008,192,0.3936218837551029,3.569567026350963,0.1102716046090015,0.3819920436298742,1.5048057416158407,-1.1228136979859664,False
DebtIssuance,1999,300,0.087562625453942,1.7875754090762503,0.0489840176863872,0.1696856147833504,1.1622060918787165,-0.9925204770953661,False
DelBreadth,2002,264,0.2988572076359689,3.4482619211567545,0.0866689406052177,0.300230017132813,1.2339129953120682,-0.9336829781792553,False
DelCOA,2005,228,0.1448100918089615,1.632398195338573,0.0887100293436226,0.3073005559281608,1.337489633604687,-1.0301890776765263,False
DelCOL,2005,228,0.0990933100555031,1.7553880595292508,0.0564509422959601,0.1955518003834837,1.337489633604687,-1.1419378332212033,False
DelDRC,2013,132,0.2315763622519415,2.1476569383667674,0.1078274458620233,0.373525229366814,1.7836659216344297,-1.4101406922676158,False
DelEqu,2005,228,0.2923868719495732,2.81231325375681,0.1039666799418557,0.3601511439070925,1.337489633604687,-0.9773384896975945,False
DelFINL,2005,228,0.1930908575682323,1.4571254155665607,0.1325149197903151,0.4590451476754805,1.337489633604687,-0.8784444859292067,False
DelLTI,2005,228,0.1249804001018515,1.1103140908074227,0.1125631036628253,0.3899300292033116,1.337489633604687,-0.9475596044013754,False
DelNetFin,2005,228,0.0249003943487703,1.5929894181920743,0.0156312365069131,0.0541481916301981,1.337489633604687,-1.283341441974489,False
DivInit,1995,348,0.2638405079838462,3.626896016484544,0.0727455396528241,0.2519979414054155,1.0665968873009146,-0.8145989458954992,False
