share,n_run,alt_power,n_disc,n_false,fdp_mean,null_share,delay_mean,sqrtV_mean,sr0_mean
0.1,500,0.06611570247933884,712,0,0.0,0.0,252.16994382022472,0.18570473294317089,0.5170979053199457
0.25,500,0.0007219667895276817,19,0,0.0,0.0,256.10526315789474,0.2487534458039633,0.6926580907644997
0.5,500,3.789744950164854e-05,2,0,0.0,0.0,206.5,0.2834417360470006,0.789248209602742
