a_ann,h_pct_m,below_frontier_212,margin_median_matured
0.0,0.0,0.9858490566037735,-1.082096113565266
0.005,0.04157148447290204,0.9858490566037735,-1.1251324688270885
0.01,0.08295381143461622,0.9905660377358491,-1.193007649214254
