n,delta_star_t5,ann_t5,ann_gaussian_ref,diff
60,0.8251592356687898,2.8584354410260895,,
120,0.5314986072423399,1.8411651837916565,,
240,0.36915066154502774,1.278775402887301,,
360,0.30006022080963535,1.039439095545249,,
480,0.2585251798561151,0.8955574930933469,0.895242,0.0003154930933468858
540,0.24296564195298373,0.8416576727123123,0.836983,0.0046746727123122556
600,0.22911301464492953,0.7936707640805803,0.791898,0.001772764080580358
